   DEBUG: 2024-10-31 03:21:02,787:      pdf_renderer.py:  470: printSegment: 3.6.1. Les comparaisons
   ERROR: 2024-10-31 03:21:02,787:      pdf_renderer.py:  217: C:\Users\Swampy\PycharmProjects\livre\truc.md:61: #les-comparaisons: No such file or directory
   DEBUG: 2024-10-31 03:21:02,787:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-10-31 03:21:02,788:      pdf_renderer.py:  470: printSegment: 3.6.2. If
   ERROR: 2024-10-31 03:21:02,788:      pdf_renderer.py:  217: C:\Users\Swampy\PycharmProjects\livre\truc.md:62: #if: No such file or directory
   DEBUG: 2024-10-31 03:21:02,789:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-10-31 03:21:02,789:      pdf_renderer.py:  470: printSegment: 3.6.3. Elif
   ERROR: 2024-10-31 03:21:02,790:      pdf_renderer.py:  217: C:\Users\Swampy\PycharmProjects\livre\truc.md:63: #elif: No such file or directory
   DEBUG: 2024-10-31 03:21:02,790:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-10-31 03:21:02,791:      pdf_renderer.py:  470: printSegment: 3.5.4. Else
   ERROR: 2024-10-31 03:21:02,791:      pdf_renderer.py:  217: C:\Users\Swampy\PycharmProjects\livre\truc.md:64: #else: No such file or directory
   DEBUG: 2024-10-31 03:21:02,792:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-10-31 03:21:02,792:      pdf_renderer.py:  470: printSegment: 3.5.5. Match
   ERROR: 2024-10-31 03:21:02,793:      pdf_renderer.py:  217: C:\Users\Swampy\PycharmProjects\livre\truc.md:65: #match: No such file or directory
   DEBUG: 2024-10-31 03:21:02,793:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-10-31 03:21:02,793:      pdf_renderer.py:  470: printSegment: 3.7. Les fonctions
   ERROR: 2024-10-31 03:21:02,794:      pdf_renderer.py:  217: C:\Users\Swampy\PycharmProjects\livre\truc.md:66: #37-les-fonctions: No such file or directory
   DEBUG: 2024-10-31 03:21:02,794:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-10-31 03:21:02,795:      pdf_renderer.py:  470: printSegment: 3.8. Les classes
   ERROR: 2024-10-31 03:21:02,796:      pdf_renderer.py:  217: C:\Users\Swampy\PycharmProjects\livre\truc.md:67: #38-les-classes: No such file or directory
   DEBUG: 2024-10-31 03:21:02,796:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-10-31 03:21:02,797:      pdf_renderer.py:  470: printSegment: 3.8.1. La programmation orientée objet
   ERROR: 2024-10-31 03:21:02,798:      pdf_renderer.py:  217: C:\Users\Swampy\PycharmProjects\livre\truc.md:68: #la-programmation-orient%C3%A9e-objet: No such file or directory
   DEBUG: 2024-10-31 03:21:02,798:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-10-31 03:21:02,798:      pdf_renderer.py:  470: printSegment: 3.8.2. L
   DEBUG: 2024-10-31 03:21:02,799:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2024-10-31 03:21:02,799:      pdf_renderer.py:  470: printSegment: initialisation
   ERROR: 2024-10-31 03:21:02,800:      pdf_renderer.py:  217: C:\Users\Swampy\PycharmProjects\livre\truc.md:69: #linitialisation: No such file or directory
   DEBUG: 2024-10-31 03:21:02,800:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-10-31 03:21:02,802:      pdf_renderer.py:  470: printSegment: 3.8.3. Les bases sur les classes
   ERROR: 2024-10-31 03:21:02,803:      pdf_renderer.py:  217: C:\Users\Swampy\PycharmProjects\livre\truc.md:70: #les-bases-sur-les-classes: No such file or directory
   DEBUG: 2024-10-31 03:21:02,803:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-10-31 03:21:02,804:      pdf_renderer.py:  470: printSegment: 3.8.3.1 Les getter
   ERROR: 2024-10-31 03:21:02,804:      pdf_renderer.py:  217: C:\Users\Swampy\PycharmProjects\livre\truc.md:71: #les-getter: No such file or directory
   DEBUG: 2024-10-31 03:21:02,805:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-10-31 03:21:02,805:      pdf_renderer.py:  470: printSegment: 3.8.3.1 Les setter
   ERROR: 2024-10-31 03:21:02,806:      pdf_renderer.py:  217: C:\Users\Swampy\PycharmProjects\livre\truc.md:72: #les-setter: No such file or directory
   DEBUG: 2024-10-31 03:21:02,806:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-10-31 03:21:02,807:      pdf_renderer.py:  470: printSegment: 3.8.3.1 Les 
   DEBUG: 2024-10-31 03:21:02,807:      pdf_renderer.py:  470: printSegment: private
   DEBUG: 2024-10-31 03:21:02,809:      pdf_renderer.py:  470: printSegment:  variables
